TOA [s],Frequency Offset [Hz],Level Offset [dB],Phase Offset [deg]
0.0,0.0,0.0,0.0
0.3,500.0,0.3,0.1
0.6,1000.0,0.6,0.4
0.8999999999999999,1500.0,0.8999999999999999,0.8999999999999998
1.2,2000.0,1.2,1.6
1.5,2500.0,1.5,2.5000000000000004
1.7999999999999998,3000.0,1.7999999999999998,3.599999999999999
2.1,3500.0,2.1,4.9
2.4,4000.0,2.4,6.4
2.6999999999999997,4500.0,2.6999999999999997,8.1
3.0,5000.0,3.0,10.000000000000002
3.3,5500.0,3.3,12.1
3.5999999999999996,6000.0,3.5999999999999996,14.399999999999997
3.9,6500.0,3.9,16.900000000000002
4.2,7000.0,4.2,19.6
4.5,7500.0,4.5,22.5
4.8,8000.0,4.8,25.6
5.1,8500.0,5.1,28.899999999999995
5.3999999999999995,9000.0,5.3999999999999995,32.4
5.7,9500.0,5.7,36.1
6.0,10000.0,6.0,40.00000000000001
6.3,10500.0,6.3,44.099999999999994
6.6,11000.0,6.6,48.4
6.8999999999999995,11500.0,6.8999999999999995,52.89999999999999
7.199999999999999,12000.0,7.199999999999999,57.59999999999999
7.5,12500.0,7.5,62.5
7.8,13000.0,7.8,67.60000000000001
8.1,13500.0,8.1,72.89999999999998
8.4,14000.0,8.4,78.4
8.7,14500.0,8.7,84.1
9.0,15000.0,9.0,90.0
9.299999999999999,15500.0,9.299999999999999,96.09999999999997
9.6,16000.0,9.6,102.4
9.9,16500.0,9.9,108.9
10.2,17000.0,10.2,115.59999999999998
10.5,17500.0,10.5,122.49999999999999
10.799999999999999,18000.0,10.799999999999999,129.6
11.1,18500.0,11.1,136.9
11.4,19000.0,11.4,144.4
11.7,19500.0,11.7,152.09999999999997
12.0,20000.0,12.0,160.00000000000003
12.299999999999999,20500.0,12.299999999999999,168.09999999999997
12.6,21000.0,12.6,176.39999999999998
12.9,21500.0,12.9,184.89999999999998
13.2,22000.0,13.2,193.6
13.5,22500.0,13.5,202.5
13.799999999999999,23000.0,13.799999999999999,211.59999999999997
14.1,23500.0,14.1,220.89999999999998
14.399999999999999,24000.0,14.399999999999999,230.39999999999995
14.7,24500.0,14.7,240.09999999999997
15.0,25000.0,15.0,250.0
